"UPC","DESCRIP","BRAND","STORE","WEEK","MOVE","SALES","PRICE","PROFIT","name","city","zip","lat","long","age9","age60","ethnic","educ","nocar","income","incsigma","hsizeavg","hsize1","hsize2","hsize34","hsize567","hh3plus","hh4plus","hhsingle","hhlarge","workwom","sinhouse","density","hval150","hval200","hvalmean","single","retired","unemp","wrkch5","wrkch17","nwrkch5","nwrkch17","wrkch","nwrkch","wrkwch","wrkwnch","telephn","mortgage","nwhite","poverty","shpcons","shphurr","shpavid","shpkstr","shpunft","shpbird","shopindx","shpindx"
1470002020,"SALERNO GRAHAM CRACK","SALERNO",71,1,6,12.78,2.13,27.42,"DOMINICKS   71","NORTH RIVERSIDE",60546,418456,878058,0.111723683774471,0.268070876598358,0.0748280063271523,0.15958808362484,0.153432175517082,10.4048385620117,24154.4921875,2.30708408355713,0.338495343923569,0.323887974023819,0.262602955102921,0.0750137269496918,0.337616682052612,0.189236685633659,0.338495343923569,0.0750137269496918,0.303101748228073,0.546188175678253,0.000507021031808108,0.163882434368134,0.0733770355582237,120.298156738281,0.267061322927475,0.23249027132988,0.179617762565613,0.0340114757418633,0.0845070406794548,0.0524778291583061,0.0463223792612553,0.118518516421318,0.0988002121448517,0.0336985737085342,0.272069454193115,0.979461848735809,0.443118870258331,0.10079163312912,0.0733743384480476,0.111818984150887,0.0977592244744301,0.17992091178894,0.268782943487167,0.245166957378387,0.096550963819027,0.697799980640411,0.697799980640411
1470002020,"SALERNO GRAHAM CRACK","SALERNO",71,2,9,16.47,1.83,15.52,"DOMINICKS   71","NORTH RIVERSIDE",60546,418456,878058,0.111723683774471,0.268070876598358,0.0748280063271523,0.15958808362484,0.153432175517082,10.4048385620117,24154.4921875,2.30708408355713,0.338495343923569,0.323887974023819,0.262602955102921,0.0750137269496918,0.337616682052612,0.189236685633659,0.338495343923569,0.0750137269496918,0.303101748228073,0.546188175678253,0.000507021031808108,0.163882434368134,0.0733770355582237,120.298156738281,0.267061322927475,0.23249027132988,0.179617762565613,0.0340114757418633,0.0845070406794548,0.0524778291583061,0.0463223792612553,0.118518516421318,0.0988002121448517,0.0336985737085342,0.272069454193115,0.979461848735809,0.443118870258331,0.10079163312912,0.0733743384480476,0.111818984150887,0.0977592244744301,0.17992091178894,0.268782943487167,0.245166957378387,0.096550963819027,0.697799980640411,0.697799980640411
1470002020,"SALERNO GRAHAM CRACK","SALERNO",71,3,15,27.45,1.83,15.52,"DOMINICKS   71","NORTH RIVERSIDE",60546,418456,878058,0.111723683774471,0.268070876598358,0.0748280063271523,0.15958808362484,0.153432175517082,10.4048385620117,24154.4921875,2.30708408355713,0.338495343923569,0.323887974023819,0.262602955102921,0.0750137269496918,0.337616682052612,0.189236685633659,0.338495343923569,0.0750137269496918,0.303101748228073,0.546188175678253,0.000507021031808108,0.163882434368134,0.0733770355582237,120.298156738281,0.267061322927475,0.23249027132988,0.179617762565613,0.0340114757418633,0.0845070406794548,0.0524778291583061,0.0463223792612553,0.118518516421318,0.0988002121448517,0.0336985737085342,0.272069454193115,0.979461848735809,0.443118870258331,0.10079163312912,0.0733743384480476,0.111818984150887,0.0977592244744301,0.17992091178894,0.268782943487167,0.245166957378387,0.096550963819027,0.697799980640411,0.697799980640411
1470002020,"SALERNO GRAHAM CRACK","SALERNO",71,4,10,18.3,1.83,15.52,"DOMINICKS   71","NORTH RIVERSIDE",60546,418456,878058,0.111723683774471,0.268070876598358,0.0748280063271523,0.15958808362484,0.153432175517082,10.4048385620117,24154.4921875,2.30708408355713,0.338495343923569,0.323887974023819,0.262602955102921,0.0750137269496918,0.337616682052612,0.189236685633659,0.338495343923569,0.0750137269496918,0.303101748228073,0.546188175678253,0.000507021031808108,0.163882434368134,0.0733770355582237,120.298156738281,0.267061322927475,0.23249027132988,0.179617762565613,0.0340114757418633,0.0845070406794548,0.0524778291583061,0.0463223792612553,0.118518516421318,0.0988002121448517,0.0336985737085342,0.272069454193115,0.979461848735809,0.443118870258331,0.10079163312912,0.0733743384480476,0.111818984150887,0.0977592244744301,0.17992091178894,0.268782943487167,0.245166957378387,0.096550963819027,0.697799980640411,0.697799980640411
1470002020,"SALERNO GRAHAM CRACK","SALERNO",71,5,8,17.04,2.13,27.42,"DOMINICKS   71","NORTH RIVERSIDE",60546,418456,878058,0.111723683774471,0.268070876598358,0.0748280063271523,0.15958808362484,0.153432175517082,10.4048385620117,24154.4921875,2.30708408355713,0.338495343923569,0.323887974023819,0.262602955102921,0.0750137269496918,0.337616682052612,0.189236685633659,0.338495343923569,0.0750137269496918,0.303101748228073,0.546188175678253,0.000507021031808108,0.163882434368134,0.0733770355582237,120.298156738281,0.267061322927475,0.23249027132988,0.179617762565613,0.0340114757418633,0.0845070406794548,0.0524778291583061,0.0463223792612553,0.118518516421318,0.0988002121448517,0.0336985737085342,0.272069454193115,0.979461848735809,0.443118870258331,0.10079163312912,0.0733743384480476,0.111818984150887,0.0977592244744301,0.17992091178894,0.268782943487167,0.245166957378387,0.096550963819027,0.697799980640411,0.697799980640411
1470002020,"SALERNO GRAHAM CRACK","SALERNO",71,6,3,6.39,2.13,27.42,"DOMINICKS   71","NORTH RIVERSIDE",60546,418456,878058,0.111723683774471,0.268070876598358,0.0748280063271523,0.15958808362484,0.153432175517082,10.4048385620117,24154.4921875,2.30708408355713,0.338495343923569,0.323887974023819,0.262602955102921,0.0750137269496918,0.337616682052612,0.189236685633659,0.338495343923569,0.0750137269496918,0.303101748228073,0.546188175678253,0.000507021031808108,0.163882434368134,0.0733770355582237,120.298156738281,0.267061322927475,0.23249027132988,0.179617762565613,0.0340114757418633,0.0845070406794548,0.0524778291583061,0.0463223792612553,0.118518516421318,0.0988002121448517,0.0336985737085342,0.272069454193115,0.979461848735809,0.443118870258331,0.10079163312912,0.0733743384480476,0.111818984150887,0.0977592244744301,0.17992091178894,0.268782943487167,0.245166957378387,0.096550963819027,0.697799980640411,0.697799980640411
1470002020,"SALERNO GRAHAM CRACK","SALERNO",71,7,5,10.65,2.13,27.42,"DOMINICKS   71","NORTH RIVERSIDE",60546,418456,878058,0.111723683774471,0.268070876598358,0.0748280063271523,0.15958808362484,0.153432175517082,10.4048385620117,24154.4921875,2.30708408355713,0.338495343923569,0.323887974023819,0.262602955102921,0.0750137269496918,0.337616682052612,0.189236685633659,0.338495343923569,0.0750137269496918,0.303101748228073,0.546188175678253,0.000507021031808108,0.163882434368134,0.0733770355582237,120.298156738281,0.267061322927475,0.23249027132988,0.179617762565613,0.0340114757418633,0.0845070406794548,0.0524778291583061,0.0463223792612553,0.118518516421318,0.0988002121448517,0.0336985737085342,0.272069454193115,0.979461848735809,0.443118870258331,0.10079163312912,0.0733743384480476,0.111818984150887,0.0977592244744301,0.17992091178894,0.268782943487167,0.245166957378387,0.096550963819027,0.697799980640411,0.697799980640411
1470002020,"SALERNO GRAHAM CRACK","SALERNO",71,8,5,10.65,2.13,27.42,"DOMINICKS   71","NORTH RIVERSIDE",60546,418456,878058,0.111723683774471,0.268070876598358,0.0748280063271523,0.15958808362484,0.153432175517082,10.4048385620117,24154.4921875,2.30708408355713,0.338495343923569,0.323887974023819,0.262602955102921,0.0750137269496918,0.337616682052612,0.189236685633659,0.338495343923569,0.0750137269496918,0.303101748228073,0.546188175678253,0.000507021031808108,0.163882434368134,0.0733770355582237,120.298156738281,0.267061322927475,0.23249027132988,0.179617762565613,0.0340114757418633,0.0845070406794548,0.0524778291583061,0.0463223792612553,0.118518516421318,0.0988002121448517,0.0336985737085342,0.272069454193115,0.979461848735809,0.443118870258331,0.10079163312912,0.0733743384480476,0.111818984150887,0.0977592244744301,0.17992091178894,0.268782943487167,0.245166957378387,0.096550963819027,0.697799980640411,0.697799980640411
1470002020,"SALERNO GRAHAM CRACK","SALERNO",71,9,9,19.17,2.13,27.42,"DOMINICKS   71","NORTH RIVERSIDE",60546,418456,878058,0.111723683774471,0.268070876598358,0.0748280063271523,0.15958808362484,0.153432175517082,10.4048385620117,24154.4921875,2.30708408355713,0.338495343923569,0.323887974023819,0.262602955102921,0.0750137269496918,0.337616682052612,0.189236685633659,0.338495343923569,0.0750137269496918,0.303101748228073,0.546188175678253,0.000507021031808108,0.163882434368134,0.0733770355582237,120.298156738281,0.267061322927475,0.23249027132988,0.179617762565613,0.0340114757418633,0.0845070406794548,0.0524778291583061,0.0463223792612553,0.118518516421318,0.0988002121448517,0.0336985737085342,0.272069454193115,0.979461848735809,0.443118870258331,0.10079163312912,0.0733743384480476,0.111818984150887,0.0977592244744301,0.17992091178894,0.268782943487167,0.245166957378387,0.096550963819027,0.697799980640411,0.697799980640411
1470002020,"SALERNO GRAHAM CRACK","SALERNO",71,10,7,14.91,2.13,27.42,"DOMINICKS   71","NORTH RIVERSIDE",60546,418456,878058,0.111723683774471,0.268070876598358,0.0748280063271523,0.15958808362484,0.153432175517082,10.4048385620117,24154.4921875,2.30708408355713,0.338495343923569,0.323887974023819,0.262602955102921,0.0750137269496918,0.337616682052612,0.189236685633659,0.338495343923569,0.0750137269496918,0.303101748228073,0.546188175678253,0.000507021031808108,0.163882434368134,0.0733770355582237,120.298156738281,0.267061322927475,0.23249027132988,0.179617762565613,0.0340114757418633,0.0845070406794548,0.0524778291583061,0.0463223792612553,0.118518516421318,0.0988002121448517,0.0336985737085342,0.272069454193115,0.979461848735809,0.443118870258331,0.10079163312912,0.0733743384480476,0.111818984150887,0.0977592244744301,0.17992091178894,0.268782943487167,0.245166957378387,0.096550963819027,0.697799980640411,0.697799980640411
